Time_hr,Target_Q,Q,WHP,FLP,BHP,Choke,Why
0,100.0,54.494968895382776,291.48865729329697,202.76552474171356,3230.3270887008007,20.0,No choke move keeps all limits satisfied over the lookahead; moved to 20.0% because it minimizes the predicted constraint violation (45.9 psi-steps over horizon).
1,100.0,57.712192754247454,291.0736784185559,201.34908379257126,3227.124030899858,25.0,No choke move keeps all limits satisfied over the lookahead; moved to 25.0% because it minimizes the predicted constraint violation (8.7 psi-steps over horizon).
2,100.0,64.6298110037999,287.023460802886,200.31659626808477,3239.1708928569747,30.0,No choke move keeps all limits satisfied over the lookahead; moved to 30.0% because it minimizes the predicted constraint violation (1.8 psi-steps over horizon).
3,100.0,69.47291199700221,285.5222462130089,197.66027175829996,3234.600950057153,35.0,No choke move keeps all limits satisfied over the lookahead; moved to 35.0% because it minimizes the predicted constraint violation (0.0 psi-steps over horizon).
4,100.0,76.44672345579208,281.48020796100457,196.08872398664437,3228.5995875301196,35.0,"Moved choke to 35.0% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.6 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options."
5,100.0,82.80624374777194,282.0013237449226,194.63352136233047,3187.718985052601,35.0,"Moved choke to 35.0% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.8 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options."
6,100.0,85.29809419160954,278.6146904643001,193.50578516960928,3210.709457500925,35.0,"Moved choke to 35.0% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 100.9 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options."
7,100.0,88.40899440016922,277.1368728445954,192.74960921869803,3182.8875732577817,35.0,"Moved choke to 35.0% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 101.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options."
8,100.0,89.20633436243546,274.03418617818255,191.9688071061167,3181.74659429791,34.0,"Moved choke to 34.0% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 98.9 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options."
9,100.0,91.22635204704426,275.0691245549921,190.66502537337158,3155.4171107720463,34.0,"Moved choke to 34.0% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 99.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options."
10,100.0,94.37825828006069,272.1929146164499,188.6606518334425,3167.707525086118,34.0,"Moved choke to 34.0% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 99.0 bbl/hr, closest to the 100.0 bbl/hr target among 11 feasible options."
