Time_hr,Target_Q,Q,WHP,FLP,BHP,WHT,AP,Choke,Why,Fallback
0,400.0,102.4431203989568,264.57857153271004,184.26542655674155,3111.399768693027,131.0850507373451,1801.1765133270267,39.4,"Moved choke to 39.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 110.5 bbl/hr, closest to the 400.0 bbl/hr target among 11 feasible options.",False
1,400.0,104.56004695946778,264.6416790744231,183.82226606109703,3115.9434330596932,133.37575000188207,1804.9028981942408,44.4,"Moved choke to 44.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 120.1 bbl/hr, closest to the 400.0 bbl/hr target among 11 feasible options.",False
2,400.0,111.45664418270754,260.17670274567575,180.8975215842568,3101.670268206108,131.81186314985013,1795.2452846599613,49.4,"Moved choke to 49.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 129.2 bbl/hr, closest to the 400.0 bbl/hr target among 11 feasible options.",False
3,400.0,115.17322854027258,257.2309485503984,179.8415827918193,3080.013024111709,133.09852195070405,1794.9954682379323,54.4,"Moved choke to 54.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 137.9 bbl/hr, closest to the 400.0 bbl/hr target among 11 feasible options.",False
4,400.0,120.48514315210205,253.35896995891355,176.529840785974,3083.8428675266814,131.26206854493785,1795.7298056326006,59.4,"Moved choke to 59.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 145.9 bbl/hr, closest to the 400.0 bbl/hr target among 11 feasible options.",False
5,400.0,127.56061517112637,253.813141662706,174.16654480533617,3068.330917499233,131.5323805728195,1798.9695909282468,64.4,"Moved choke to 64.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 153.6 bbl/hr, closest to the 400.0 bbl/hr target among 11 feasible options.",False
6,400.0,134.61818377818454,248.17360305252367,170.3516413894996,3040.199117078698,128.75083010894582,1804.4116433903966,69.4,"Moved choke to 69.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 160.8 bbl/hr, closest to the 400.0 bbl/hr target among 11 feasible options.",False
7,400.0,139.4485859353171,243.44502241564328,168.1781485309655,3037.4974428007213,130.34296243248735,1812.974435693505,74.4,"Moved choke to 74.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 167.6 bbl/hr, closest to the 400.0 bbl/hr target among 11 feasible options.",False
8,400.0,146.95319308665267,239.50883079278134,165.3653558097499,3047.1131368481683,128.05667420118615,1800.0166726628102,74.4,"Moved choke to 74.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 167.8 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
9,400.0,150.4694550971873,232.58604994073428,160.54090027389157,2995.6177960985087,127.85540624692375,1803.7844267259863,74.4,"Moved choke to 74.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 167.9 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
10,400.0,150.3556229192124,227.60507118502437,159.55472385942,2984.6135585970983,126.90011542908682,1805.3708995730963,73.4,"Moved choke to 73.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 166.7 bbl/hr, closest to the 400.0 bbl/hr target among 5 feasible options.",False
11,400.0,157.36780564744876,227.24061149734843,158.57536435267605,2959.455103837929,125.0311011482734,1801.8899066759657,73.4,"Moved choke to 73.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 166.7 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
12,400.0,158.66001778022036,225.1822291711974,157.01086232917774,2964.622620722,127.89075128285576,1785.9825170884988,73.4,"Moved choke to 73.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 166.9 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
13,400.0,158.00127377451633,222.47634980493143,155.80430595408745,2929.387976836058,128.35546189042947,1796.489344609228,72.4,"Moved choke to 72.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 165.6 bbl/hr, closest to the 400.0 bbl/hr target among 5 feasible options.",False
14,400.0,160.05282199300427,220.36511445936532,154.88805898172964,2919.238486944387,128.06571788324845,1800.6183477417692,72.4,"Moved choke to 72.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 165.6 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
15,400.0,160.23934579290403,218.01630823750932,151.43325917606523,2918.034586538645,126.84364473568924,1794.3275961982458,72.4,"Moved choke to 72.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 165.6 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
16,400.0,161.78203185661886,216.74250039038668,152.5824772506816,2926.6299879374064,126.52668729853579,1797.920256512754,72.4,"Moved choke to 72.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 165.6 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
17,400.0,163.83810654153083,218.3373094701535,151.56001558589006,2914.27601938597,124.19354935850606,1810.7639509630421,72.4,"Moved choke to 72.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 165.7 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
18,400.0,164.59521103458758,216.28053623961816,151.21369136872767,2892.1863094625633,127.88562249989228,1806.0282680652635,72.4,"Moved choke to 72.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 165.7 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
19,400.0,162.4127388052243,211.71459767265097,151.27218356963013,2895.099440800122,130.47269011972332,1795.0860283805916,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 5 feasible options.",False
20,400.0,163.12426691870942,212.80418908458952,149.1075173790825,2882.7018121566693,129.0591237667923,1798.9489806194392,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
21,400.0,163.14530742643973,210.7370611400126,150.76756042111393,2894.2631728732217,127.00282621535777,1796.8863896937535,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
22,400.0,164.7030308466025,212.35482760621935,149.42477049918253,2890.374373366885,123.4622469967779,1789.68779445406,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
23,400.0,163.84258335068114,211.28405092173165,148.78975905476338,2884.2750761611874,128.23017704499222,1803.6083955812346,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
24,400.0,164.75433901886734,212.09991398624402,149.962999871189,2866.709566165199,126.35062329768516,1810.3306218142964,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
25,400.0,162.67764977938612,210.77843291006832,149.1126502369425,2866.6298965146243,125.142337701047,1800.8081693896454,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
26,400.0,165.01702198721517,210.79905817071065,148.05552480695843,2870.472282213843,127.18166887096018,1807.574461672128,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
27,400.0,165.6230224313495,211.2107659082531,150.138997289114,2879.59646712495,125.44260386673584,1800.4643263605014,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
28,400.0,163.47943451145827,206.85959533136617,147.6243323735954,2890.4598967822053,124.9910204367102,1782.0631718244497,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
29,400.0,162.43914797964044,211.66952664772202,149.6078484478585,2871.9972409985503,126.26253004922913,1799.334167796524,66.4,No choke move keeps all limits satisfied over the lookahead; moved to 66.4% because it minimizes the predicted constraint violation (0.3 psi-steps over horizon).,True
30,400.0,165.60646924286795,211.491848519997,149.4052467538205,2875.3915889684167,128.49087528726608,1798.2466718273984,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 11 feasible options.",False
31,400.0,164.24720508845576,210.52872968501157,148.7559289017177,2880.271045842212,126.55967775140593,1795.044245312146,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
32,400.0,161.35709260700506,208.34406509129107,150.5329039400082,2855.7783124427847,127.4083890449939,1797.0628313353102,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
33,400.0,164.1833255121976,210.53654947703495,148.82216477343576,2862.9008233329187,126.88212350830922,1800.9163820133679,68.4,No choke move keeps all limits satisfied over the lookahead; moved to 68.4% because it minimizes the predicted constraint violation (4.6 psi-steps over horizon).,True
34,400.0,163.58528059131683,209.73737720286547,149.89450819546437,2877.7907973700303,127.64666686390864,1794.0788836823767,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 9 feasible options.",False
35,400.0,164.4586283778504,209.99163089982744,149.62190909501965,2884.1244071770184,126.46032346308537,1799.9079842648289,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
36,400.0,162.60938639228647,209.34424549410303,148.61786870487495,2880.457456666022,127.20057816377826,1795.424656241719,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
37,400.0,167.17719407717325,207.83698762643309,149.7627543658944,2873.5255019228216,127.5809771678303,1797.9107824699213,71.4,"Moved choke to 71.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 164.4 bbl/hr, closest to the 400.0 bbl/hr target among 6 feasible options.",False
38,400.0,163.29716387602645,208.94926087274538,150.00862952470447,2839.0371772870444,125.93673247667192,1801.2155536729476,68.4,"Moved choke to 68.4% because it keeps WHP/FLP/BHP within safe limits over the next 12h and brings predicted oil rate to 160.4 bbl/hr, closest to the 400.0 bbl/hr target among 3 feasible options.",False
39,400.0,160.7441882770774,207.47969053217594,150.0426309308497,2853.937437203837,128.01654051715786,1811.1792300946242,63.4,No choke move keeps all limits satisfied over the lookahead; moved to 63.4% because it minimizes the predicted constraint violation (16.0 psi-steps over horizon).,True
