scenario,seed,steps,violations,fallback_frac
A_startup_to_target,0,80,4,0.0875
A_startup_to_target,1,80,5,0.075
A_startup_to_target,2,80,3,0.0875
A_startup_to_target,3,80,4,0.1
A_startup_to_target,4,80,5,0.1
A_startup_to_target,5,80,4,0.0875
A_startup_to_target,6,80,5,0.075
A_startup_to_target,7,80,5,0.1
A_startup_to_target,8,80,3,0.1
A_startup_to_target,9,80,4,0.0875
A_startup_to_target,10,80,4,0.075
A_startup_to_target,11,80,4,0.0875
A_startup_to_target,12,80,4,0.0875
A_startup_to_target,13,80,3,0.075
A_startup_to_target,14,80,4,0.0875
A_startup_to_target,15,80,4,0.075
A_startup_to_target,16,80,4,0.0625
A_startup_to_target,17,80,3,0.0875
A_startup_to_target,18,80,5,0.075
A_startup_to_target,19,80,3,0.1125
A_startup_to_target,20,80,5,0.0875
A_startup_to_target,21,80,3,0.075
A_startup_to_target,22,80,4,0.075
A_startup_to_target,23,80,5,0.0875
A_startup_to_target,24,80,3,0.0875
A_startup_to_target,25,80,4,0.0875
A_startup_to_target,26,80,4,0.0875
A_startup_to_target,27,80,3,0.1
A_startup_to_target,28,80,4,0.0875
A_startup_to_target,29,80,4,0.075
B_target_tracking,0,140,0,0.0
B_target_tracking,1,140,0,0.0
B_target_tracking,2,140,0,0.0
B_target_tracking,3,140,0,0.0
B_target_tracking,4,140,0,0.0
B_target_tracking,5,140,0,0.0
B_target_tracking,6,140,0,0.0
B_target_tracking,7,140,0,0.0
B_target_tracking,8,140,0,0.0
B_target_tracking,9,140,0,0.0
B_target_tracking,10,140,0,0.0
B_target_tracking,11,140,0,0.0
B_target_tracking,12,140,0,0.0
B_target_tracking,13,140,0,0.0
B_target_tracking,14,140,0,0.0
B_target_tracking,15,140,0,0.0
B_target_tracking,16,140,0,0.0
B_target_tracking,17,140,0,0.0
B_target_tracking,18,140,0,0.0
B_target_tracking,19,140,0,0.0
B_target_tracking,20,140,0,0.0
B_target_tracking,21,140,0,0.0
B_target_tracking,22,140,0,0.0
B_target_tracking,23,140,0,0.0
B_target_tracking,24,140,0,0.0
B_target_tracking,25,140,0,0.0
B_target_tracking,26,140,0,0.0
B_target_tracking,27,140,0,0.0
B_target_tracking,28,140,0,0.0
B_target_tracking,29,140,0,0.0
C_infeasible_target,0,100,0,0.28
C_infeasible_target,1,100,0,0.24
C_infeasible_target,2,100,0,0.29
C_infeasible_target,3,100,0,0.2
C_infeasible_target,4,100,0,0.21
C_infeasible_target,5,100,0,0.25
C_infeasible_target,6,100,0,0.27
C_infeasible_target,7,100,0,0.23
C_infeasible_target,8,100,0,0.27
C_infeasible_target,9,100,0,0.26
C_infeasible_target,10,100,0,0.25
C_infeasible_target,11,100,0,0.23
C_infeasible_target,12,100,0,0.23
C_infeasible_target,13,100,0,0.25
C_infeasible_target,14,100,0,0.23
C_infeasible_target,15,100,0,0.27
C_infeasible_target,16,100,0,0.28
C_infeasible_target,17,100,0,0.26
C_infeasible_target,18,100,0,0.24
C_infeasible_target,19,100,0,0.2
C_infeasible_target,20,100,0,0.19
C_infeasible_target,21,100,0,0.23
C_infeasible_target,22,100,0,0.18
C_infeasible_target,23,100,0,0.2
C_infeasible_target,24,100,0,0.24
C_infeasible_target,25,100,0,0.19
C_infeasible_target,26,100,0,0.24
C_infeasible_target,27,100,0,0.2
C_infeasible_target,28,100,0,0.24
C_infeasible_target,29,100,0,0.22
